	mir_data...1.	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	mmu-let-7a-5p-7a-1	25173.1934940987	-0.43321141309662	0.735720288419632	-0.588826242684136	0.555977839756536	0.776183350781122
2	mmu-let-7a-1-3p-7a-1	214.959580943092	-2.57379285912182	0.991207144729433	-2.59662460345197	0.009414475229389	0.085683641644695
3	mmu-let-7c-2-3p-7a-1	214.959580943092	-2.57379285912182	0.991207144729433	-2.59662460345197	0.009414475229389	0.085683641644695
4	mmu-let-7a-5p-7a-2	25141.6456428252	-0.435770984430855	0.735968624991804	-0.592105382801757	0.553780022643839	0.776183350781122
5	mmu-let-7a-2-3p-7a-2	0.3119369994947	1.46426943916031	4.92647657484145	0.297224480197074	0.766295133423191	NA
6	mmu-let-7b-5p-7b	113373.181707484	1.86742176270148	0.703166223831276	2.65573302501169	0.007913623755151	0.079026326110466
7	mmu-let-7b-3p-7b	14.1947988118699	-0.728054373847016	1.43558111972487	-0.50714958830508	0.612049863420887	0.792044430555136
8	mmu-let-7c-5p-7c-1	947814.589529463	0.690434958982723	0.693318313515567	0.995841225485271	0.319327296197513	0.727163639950859
9	mmu-let-7c-1-3p-7c-1	51.1957857262899	1.01906277596734	0.973664377449128	1.04662633199866	0.295271952349184	0.727163639950859
10	mmu-let-7a-1-3p-7c-2	214.959580943092	-2.57379285912182	0.991207144729433	-2.59662460345197	0.009414475229389	0.085683641644695
11	mmu-let-7c-5p-7c-2	950522.98676327	0.697428157733508	0.693312008845755	1.00593693580269	0.314445907289817	0.727163639950859
12	mmu-let-7c-2-3p-7c-2	214.959580943092	-2.57379285912182	0.991207144729433	-2.59662460345197	0.009414475229389	0.085683641644695
13	mmu-let-7d-5p-7d	3634.72996127412	-0.442740357726247	0.72017011301271	-0.614771912533439	0.538705360813261	0.771572020766404
14	mmu-let-7d-3p-7d	41.4992284240328	-1.25926017836966	1.01955743383477	-1.23510469992192	0.216791540462101	0.643431152337775
15	mmu-let-7e-5p-7e	3630.72310146108	-1.9702570144347	0.713414050576014	-2.76173004000118	0.005749599690202	0.065490557810341
16	mmu-let-7e-3p-7e	28.3237679884091	1.74550585875412	1.14194271177725	1.52854065335512	0.126378357995485	0.547385779510565
17	mmu-let-7f-5p-7f-1	192871.63626535	-1.46527598179987	0.692379069108887	-2.11629156220121	0.034320017938498	0.257042634351873
18	mmu-let-7f-1-3p-7f-1	14.8295066399457	-1.92928958046999	1.5511240332167	-1.24380097216923	0.213572822515004	0.643431152337775
19	mmu-let-7f-5p-7f-2	197028.541918118	-1.38606175128142	0.693266987412992	-1.99931884316845	0.045573866645666	0.321251079590527
20	mmu-let-7f-2-3p-7f-2	7.59408820969913	-1.59653851330824	1.85447913214568	-0.860909398026501	0.389287945167861	0.727163639950859
21	mmu-let-7g-5p-7g	23685.8303103218	-0.628146716159526	0.695712563948207	-0.902882524637415	0.366588246316873	0.727163639950859
22	mmu-let-7g-3p-7g	0.623873998989401	2.02564038128639	4.90948321496462	0.412597475659357	0.679901551043531	NA
23	mmu-let-7i-5p-7i	115141.12396828	0.904103466575956	0.69586681050578	1.29924786313465	0.193858880487643	0.611302960831673
24	mmu-let-7i-3p-7i	1.47985745337112	-0.819070761668899	4.38396854878754	-0.186833174680376	0.851791435244313	NA
25	mmu-let-7j-7j	2105.76735109877	0.820538211000067	0.700122581495492	1.17199220920337	0.241200184059774	0.688617553861719
26	mmu-let-7k-7k	7.83196869570452	-0.435351760178888	1.94841704270949	-0.223438694404707	0.823194091670957	0.900877552376588
27	mmu-miR-100-5p-100	2465.62542765053	0.629262091939672	0.704971638281043	0.892606252180618	0.372068069819131	0.727163639950859
28	mmu-miR-100-3p-100	0.577975918857217	-0.324837396326196	4.93304148219605	-0.065849313754724	0.947497794704417	NA
29	mmu-miR-101a-5p-101a	0.15596849974735	0.916875536120529	4.95529542286763	0.185029439796736	0.853205944622151	NA
30	mmu-miR-101a-3p-101a	1533.9328230431	-1.15413901515046	0.72090165244719	-1.60096597258806	0.109384455976539	0.510874465581465
31	mmu-miR-101c-101a	1533.24810974772	-1.15376447521001	0.720888393876413	-1.6004758642401	0.109493057063753	0.510874465581465
32	mmu-miR-101b-5p-101b	0	NA	NA	NA	NA	NA
33	mmu-miR-101b-3p-101b	1220.0659156981	-0.569703964373621	0.734418613465855	-0.775721031476972	0.437913719170838	0.727163639950859
34	mmu-miR-101c-101c	15.0414045593487	-0.042906711548012	1.39142713002066	-0.030836477615163	0.975399949313364	0.987938061587422
35	mmu-miR-103-1-5p-103-1	0	NA	NA	NA	NA	NA
36	mmu-miR-103-3p-103-1	3851.01271481228	-0.891146640287339	0.706079010014324	-1.26210612077147	0.206910603106477	0.635763776211782
37	mmu-miR-103-3p-103-2	3895.57261014372	-0.873860844467003	0.706167760933004	-1.23746918623478	0.215912947131035	0.643431152337775
38	mmu-miR-103-2-5p-103-2	0	NA	NA	NA	NA	NA
39	mmu-miR-105-105	0	NA	NA	NA	NA	NA
40	mmu-miR-106a-5p-106a	3.28471620159734	-0.540773097141356	2.58180295878231	-0.209455603612914	0.834092589839075	0.911417282818078
41	mmu-miR-106a-3p-106a	0	NA	NA	NA	NA	NA
42	mmu-miR-106b-5p-106b	95.6820240587395	0.102642617431413	0.853174404990611	0.120306723726133	0.90424017803733	0.957509113415081
43	mmu-miR-106b-3p-106b	1490.72441895943	0.688401382278815	0.703167808349587	0.979000139233577	0.327579910710837	0.727163639950859
44	mmu-miR-107-5p-107	0	NA	NA	NA	NA	NA
