"mir_data...1."	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	"mmu-let-7a-5p,mmu-let-7a-1"	21135.4529893384	5.97367731351147	0.564404161024316	10.5840419437555	3.53377210247896e-26	1.38459616015312e-24
"2"	"mmu-let-7a-1-3p,mmu-let-7a-1"	234.874618427771	6.41551496536428	0.861880384231348	7.44362568488646	9.7958814323265e-14	1.27940148404022e-12
"3"	"mmu-let-7c-2-3p,mmu-let-7a-1"	234.874618427771	6.41551496536428	0.861880384231348	7.44362568488646	9.7958814323265e-14	1.27940148404022e-12
"4"	"mmu-let-7a-5p,mmu-let-7a-2"	21121.3780616691	5.97226551017063	0.564247714360537	10.5844744394561	3.51749143590848e-26	1.38459616015312e-24
"5"	"mmu-let-7a-2-3p,mmu-let-7a-2"	0	NA	NA	NA	NA	NA
"6"	"mmu-let-7b-5p,mmu-let-7b"	34648.9508391883	10.0753554630439	0.656036732863911	15.3579136019719	3.1350242489724e-53	6.75597725653551e-51
"7"	"mmu-let-7b-3p,mmu-let-7b"	13.1838205804624	5.46835250292669	2.12862370520767	2.56896157340933	0.0102003767750105	0.0339487443245522
"8"	"mmu-let-7c-5p,mmu-let-7c-1"	543446.108373693	10.5081648660358	0.572537130741393	18.3536827601531	3.08477291376885e-75	2.65596875425404e-72
"9"	"mmu-let-7c-1-3p,mmu-let-7c-1"	24.0411820158146	8.60743543337199	2.05262825207328	4.19337277691563	2.74837243920543e-05	0.000142716689312957
"10"	"mmu-let-7a-1-3p,mmu-let-7c-2"	234.874618427771	6.41551496536428	0.861880384231348	7.44362568488646	9.7958814323265e-14	1.27940148404022e-12
"11"	"mmu-let-7c-5p,mmu-let-7c-2"	543369.810451616	10.5030287374812	0.57343297638886	18.3160529127972	6.16234049710914e-75	2.65596875425404e-72
"12"	"mmu-let-7c-2-3p,mmu-let-7c-2"	234.874618427771	6.41551496536428	0.861880384231348	7.44362568488646	9.7958814323265e-14	1.27940148404022e-12
"13"	"mmu-let-7d-5p,mmu-let-7d"	3095.60074193365	5.52896039653934	0.632646314511985	8.73941769629103	2.34315015787736e-18	4.92633033192751e-17
"14"	"mmu-let-7d-3p,mmu-let-7d"	62.0691505887486	1.20172527866978	0.9646083842257	1.24581674627928	0.212831680124527	0.383008159222009
"15"	"mmu-let-7e-5p,mmu-let-7e"	4368.99487492454	5.00085180167469	0.599475100525549	8.34205089967962	7.30130117882044e-17	1.31119200336317e-15
"16"	"mmu-let-7e-3p,mmu-let-7e"	11.7129856788485	2.19042786924572	1.82754288539235	1.19856441496062	0.230697361957007	0.406668969339346
"17"	"mmu-let-7f-5p,mmu-let-7f-1"	209506.962467397	7.58178042824497	0.615818209698092	12.3117184728298	7.83372142407462e-35	5.19435989811717e-33
"18"	"mmu-let-7f-1-3p,mmu-let-7f-1"	15.9078299749097	3.67779866388383	1.66642492906405	2.20699930716319	0.0273141077461039	0.0828088493760293
"19"	"mmu-let-7f-5p,mmu-let-7f-2"	211058.317873477	7.51611089225142	0.613862944787378	12.2439560101722	1.80991025777913e-34	1.11438760157543e-32
"20"	"mmu-let-7f-2-3p,mmu-let-7f-2"	8.05665812921324	7.04055051541903	2.78485516627647	2.52815679633088	0.0114663130885915	0.0375816041154596
"21"	"mmu-let-7g-5p,mmu-let-7g"	21919.7765799715	5.04685379867248	0.596946267446332	8.45445239194199	2.80400171739669e-17	5.49329427362714e-16
"22"	"mmu-let-7g-3p,mmu-let-7g"	0	NA	NA	NA	NA	NA
"23"	"mmu-let-7i-5p,mmu-let-7i"	60268.1361381143	5.35500249673454	0.624932140653724	8.56893436643029	1.04447040591197e-17	2.09379881371191e-16
"24"	"mmu-let-7i-3p,mmu-let-7i"	1.69338467971698	1.73090391961974	4.75019480785168	0.364385880924021	0.715569877231165	NA
"25"	"mmu-let-7j,mmu-let-7j"	1264.72897051489	3.32581554058159	0.672611196571594	4.94463303247671	7.62874315347101e-07	4.76520043354494e-06
"26"	"mmu-let-7k,mmu-let-7k"	5.20824195549889	6.30874031156276	3.26303650360642	1.93339556716271	0.053187486920913	0.118776201362246
"27"	"mmu-miR-100-5p,mmu-mir-100"	1688.3436351408	2.59307323328394	0.661908793286132	3.91756879435049	8.94465236707493e-05	0.000430742477118357
"28"	"mmu-miR-100-3p,mmu-mir-100"	0.420448207626857	2.54513784297944	4.97569700767837	0.511513831941906	0.608991305432237	NA
"29"	"mmu-miR-101a-5p,mmu-mir-101a"	0	NA	NA	NA	NA	NA
"30"	"mmu-miR-101a-3p,mmu-mir-101a"	1792.9937868548	3.06101163543585	0.6962266715251	4.39657335840156	1.09973204311005e-05	5.84835635121054e-05
"31"	"mmu-miR-101c,mmu-mir-101a"	1792.21728662546	3.06027685737978	0.696251773905966	4.39535951228053	1.10589569054213e-05	5.84835635121054e-05
"32"	"mmu-miR-101b-5p,mmu-mir-101b"	0	NA	NA	NA	NA	NA
"33"	"mmu-miR-101b-3p,mmu-mir-101b"	1333.42238851068	2.0399143930679	0.643839601489296	3.16835806363771	0.00153302584090001	0.00617508539652246
"34"	"mmu-miR-101c,mmu-mir-101c"	17.3680312163404	1.25598202625889	1.58507934424568	0.792378016165868	0.428140293904667	0.614071436515513
"35"	"mmu-miR-103-1-5p,mmu-mir-103-1"	0	NA	NA	NA	NA	NA
"36"	"mmu-miR-103-3p,mmu-mir-103-1"	4230.26156028208	2.55018913752913	0.562897823636019	4.53046544230048	5.88538814896769e-06	3.25205422077574e-05
"37"	"mmu-miR-103-3p,mmu-mir-103-2"	4265.32186791684	2.53576423952478	0.562695548151545	4.50645868419391	6.59185132318201e-06	3.57369549722195e-05
"38"	"mmu-miR-103-2-5p,mmu-mir-103-2"	0	NA	NA	NA	NA	NA
"39"	"mmu-miR-105,mmu-mir-105"	0	NA	NA	NA	NA	NA
"40"	"mmu-miR-106a-5p,mmu-mir-106a"	180.706581013705	-5.87398986967711	0.923859916159652	-6.35809581835135	2.04270044430641e-10	1.83417477395013e-09
"41"	"mmu-miR-106a-3p,mmu-mir-106a"	0.403764889289708	-0.92163830233884	4.91661841618824	-0.187453697709038	0.851304923999017	NA
"42"	"mmu-miR-106b-5p,mmu-mir-106b"	118.168199765448	0.529975748679445	0.81923357108896	0.646916541731778	0.517685959344549	0.648604670392678
"43"	"mmu-miR-106b-3p,mmu-mir-106b"	2174.88181056354	-0.574732174913768	0.583355807839124	-0.985217198818507	0.324517394311358	0.51292137589973
"44"	"mmu-miR-107-5p,mmu-mir-107"	0	NA	NA	NA	NA	NA
"45"	"mmu-miR-107-3p,mmu-mir-107"	131.488872066706	1.27886394005588	0.774647753941765	1.6508973705125	0.0987595328489216	0.202210729966201
"46"	"mmu-miR-10a-5p,mmu-mir-10a"	38674.362351434	6.41060859813561	0.685262140053213	9.35497267897771	8.36213252335128e-21	1.89688374608653e-19
"47"	"mmu-miR-10a-3p,mmu-mir-10a"	39.8832411696791	4.26475461443467	1.31242427513606	3.24952433083619	0.00115598188872127	0.00474503041941778
"48"	"mmu-miR-10b-5p,mmu-mir-10b"	659.229360772021	-1.99072836512197	0.644590230680057	-3.08836260677067	0.00201262732922579	0.0077105989235228
"49"	"mmu-miR-10b-3p,mmu-mir-10b"	1.3527663628148	-3.147339982052	4.81648068844764	-0.653452216594766	0.51346478501174	NA
"50"	"mmu-miR-1187,mmu-mir-1187"	8.77387099969162	-5.90527771584484	2.69620324554052	-2.19021979356048	0.0285083004067013	0.0828088493760293
"51"	"mmu-miR-1188-5p,mmu-mir-1188"	1.22506146490066	-3.04554993057972	4.81546156308123	-0.632452339341483	0.527091342502207	NA
"52"	"mmu-miR-1188-3p,mmu-mir-1188"	0	NA	NA	NA	NA	NA
"53"	"mmu-miR-1190,mmu-mir-1190"	0	NA	NA	NA	NA	NA
"54"	"mmu-miR-1191a,mmu-mir-1191a"	60.5149183144861	-1.66779700656469	0.986017260068466	-1.69144808524841	0.0907512550655603	0.189413031153784
"55"	"mmu-miR-1191b-5p,mmu-mir-1191b"	2.53482483192619	4.11141434929047	4.00248568945566	1.02721525279198	0.304319117441782	NA
"56"	"mmu-miR-1191b-3p,mmu-mir-1191b"	0	NA	NA	NA	NA	NA
"57"	"mmu-miR-1192,mmu-mir-1192"	0	NA	NA	NA	NA	NA
"58"	"mmu-miR-1193-5p,mmu-mir-1193"	4.83639341064559	-4.96718010035041	3.33785496265074	-1.48813539112129	0.136715191739793	0.26364316617383
"59"	"mmu-miR-1193-3p,mmu-mir-1193"	23.1866836524076	-7.33838796780496	2.06361919231741	-3.55607662262729	0.00037643433171224	0.00166403278941513
"60"	"mmu-miR-1194,mmu-mir-1194"	3.44754314747137	-2.03335513829555	3.46473936395072	-0.586871023965564	0.557290331728608	0.686263237071514
"61"	"mmu-miR-1195,mmu-mir-1195"	23.8282878158638	-7.28662787072322	2.05341110755633	-3.54854799601951	0.000387361395525361	0.00170359960685133
"62"	"mmu-miR-1197-5p,mmu-mir-1197"	0	NA	NA	NA	NA	NA
"63"	"mmu-miR-1197-3p,mmu-mir-1197"	5.55253714620486	-5.23962392184667	3.16805562575759	-1.6538926524037	0.0981493258244352	0.201439806811103
"64"	"mmu-miR-1198-5p,mmu-mir-1198"	557.692991537816	1.47428748629932	0.715625315346387	2.06013881102811	0.0393852724996645	0.0935264597650434
"65"	"mmu-miR-1198-3p,mmu-mir-1198"	0.55503650405676	1.23614903545495	4.88785455459437	0.252902172445583	0.800343810665966	NA
