"mir_data...1."	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	"mmu-let-7a-1-3p-7a-1"	65.2819548868112	-0.0663000534392683	1.33460285013947	-0.0496777400350524	0.96037919543135	0.986271477582791
"2"	"mmu-let-7a-1-3p-7c-2"	65.2819548868112	-0.0663000534392683	1.33460285013947	-0.0496777400350524	0.96037919543135	0.986271477582791
"3"	"mmu-let-7a-2-3p-7a-2"	0.667274967623489	0.895023827627591	4.90680488625151	0.182404609185782	0.855265208879192	0.986271477582791
"4"	"mmu-let-7a-5p-7a-1"	23192.5750326357	1.02323462683566	0.82895811644969	1.23436227540424	0.217067939738085	0.986271477582791
"5"	"mmu-let-7a-5p-7a-2"	23151.9153879694	1.02463058067692	0.829126198943028	1.23579568705357	0.216534518569026	0.986271477582791
"6"	"mmu-let-7b-3p-7b"	7.39656562164519	-1.31801680899103	2.1859130499773	-0.602959394475787	0.546535702273045	0.986271477582791
"7"	"mmu-let-7b-5p-7b"	128936.897156816	0.151078558466329	0.790238668321604	0.191180923590092	0.848383848726426	0.986271477582791
"8"	"mmu-let-7c-1-3p-7c-1"	27.7176294175398	-3.06921588543255	1.37306609612551	-2.23530090364418	0.0253976007888208	0.986271477582791
"9"	"mmu-let-7c-2-3p-7a-1"	65.2819548868112	-0.0663000534392683	1.33460285013947	-0.0496777400350524	0.96037919543135	0.986271477582791
"10"	"mmu-let-7c-2-3p-7c-2"	65.2819548868112	-0.0663000534392683	1.33460285013947	-0.0496777400350524	0.96037919543135	0.986271477582791
"11"	"mmu-let-7c-5p-7c-1"	778183.228921258	-0.249270732379637	0.787077055899668	-0.316704356341207	0.751467942951143	0.986271477582791
"12"	"mmu-let-7c-5p-7c-2"	781244.965554236	-0.251010705778549	0.786932108239202	-0.318973775692286	0.749746398844032	0.986271477582791
"13"	"mmu-let-7d-3p-7d"	21.447704680505	0.549609322517944	1.29572468979223	0.424171374403673	0.671440835633118	0.986271477582791
"14"	"mmu-let-7d-5p-7d"	2110.66290251659	-0.0782907447626667	0.784934000158919	-0.0997418187348438	0.920549299511506	0.986271477582791
"15"	"mmu-let-7e-3p-7e"	18.7040529604254	-2.41213754626831	1.4473772332727	-1.66655761249896	0.0956024033106309	0.986271477582791
"16"	"mmu-let-7e-5p-7e"	1555.38094309779	0.644283344089698	0.91186975809679	0.706551937235439	0.479844966026117	0.986271477582791
